task,direction,channel,time_s,amplitude
2,-1,F3,0.10546875,-7.661878021502532
2,-1,F3,0.109375,-8.010840711680368
2,-1,F3,0.11328125,-8.248860632084899
2,-1,F3,0.1171875,-8.471401699655068
2,-1,F3,0.12109375,-8.75787492867047
2,-1,F3,0.125,-9.032220270798645
2,-1,F3,0.12890625,-9.40363288578962
2,-1,F3,0.1328125,-9.843265213289213
2,-1,F3,0.13671875,-10.300033806563711
2,-1,F3,0.140625,-10.755839491551503
2,-1,F3,0.14453125,-11.115365265727323
2,-1,F3,0.1484375,-11.40294641278745
2,-1,F3,0.15234375,-11.63257209592375
2,-1,F3,0.15625,-11.864659381340417
2,-1,F3,0.16015625,-12.016043451832124
2,-1,F3,0.1640625,-12.242490692989648
2,-1,F3,0.16796875,-12.64092794529644
2,-1,F3,0.171875,-13.085732151342516
2,-1,F3,0.17578125,-13.628315144746592
2,-1,F3,0.1796875,-14.136850331222696
2,-1,F3,0.18359375,-14.648181356283326
2,-1,F3,0.1875,-15.138237025997237
2,-1,F3,0.19140625,-15.520479140840715
2,-1,F3,0.1953125,-15.819793684849095
2,-1,F3,0.19921875,-15.996696779403992
2,-1,F3,0.203125,-16.32553209950917
2,-1,F3,0.20703125,-16.81926046259335
2,-1,F3,0.2109375,-17.35758799536713
2,-1,F3,0.21484375,-17.96243557384223
2,-1,F3,0.21875,-18.469053290721984
2,-1,F3,0.22265625,-18.983848179330884
2,-1,F3,0.2265625,-19.421906547928277
2,-1,F3,0.23046875,-19.70141075421872
2,-1,F3,0.234375,-19.854394299812842
2,-1,F3,0.23828125,-19.688870473968848
2,-1,F3,0.2421875,-19.382366940169575
2,-1,F3,0.24609375,-19.012858278656
2,-1,F3,0.25,-18.616764490139992
2,-1,F3,0.25390625,-18.337911932170144
2,-1,F3,0.2578125,-18.060863120307307
2,-1,F3,0.26171875,-17.78623923291583
2,-1,F3,0.265625,-17.465813951244442
2,-1,F3,0.26953125,-17.06231433544085
2,-1,F3,0.2734375,-16.689645578680988
2,-1,F3,0.27734375,-16.337984690430815
2,-1,F3,0.28125,-16.03905547130854
2,-1,F3,0.28515625,-15.688853985912749
2,-1,F3,0.2890625,-15.331330297849911
2,-1,F3,0.29296875,-14.974741354016237
2,-1,F3,0.296875,-14.595345903805846
2,-1,F3,0.30078125,-14.414561880696954
2,-1,F3,0.3046875,-14.3438400966461
2,-1,F3,0.30859375,-14.48952384764885
2,-1,F3,0.3125,-14.81238852243127
2,-1,F3,0.31640625,-15.16519737698412
2,-1,F3,0.3203125,-15.58536953238643
2,-1,F3,0.32421875,-15.943728580514378
2,-1,F3,0.328125,-16.218987289944298
2,-1,F3,0.33203125,-16.30229688733502
2,-1,F3,0.3359375,-16.25143847535341
2,-1,F3,0.33984375,-16.109138143676027
2,-1,F3,0.34375,-15.852098633539498
2,-1,F3,0.34765625,-15.800518735021043
2,-1,F3,0.3515625,-15.820853388820636
2,-1,F3,0.35546875,-15.806161530901342
2,-1,F3,0.359375,-15.983867847423431
2,-1,F3,0.36328125,-16.119440099044812
2,-1,F3,0.3671875,-16.233339933678977
2,-1,F3,0.37109375,-16.37880047163923
2,-1,F3,0.375,-16.501209458560805
2,-1,F3,0.37890625,-16.799573697950954
2,-1,F3,0.3828125,-17.10178864409191
2,-1,F3,0.38671875,-17.601523612576795
2,-1,F3,0.390625,-18.39382305923455
2,-1,F3,0.39453125,-19.104912580392114
2,-1,F3,0.3984375,-19.934508485537663
2,-1,F3,0.40234375,-20.665675061725516
2,-1,F3,0.40625,-21.234218546873926
2,-1,F3,0.41015625,-21.840513423739715
2,-1,F3,0.4140625,-22.28181012793249
2,-1,F3,0.41796875,-22.698276437587488
2,-1,F3,0.421875,-23.005833882769114
2,-1,F3,0.42578125,-23.215232900090612
2,-1,F3,0.4296875,-23.29923028651544
2,-1,F3,0.43359375,-23.238472003082776
2,-1,F3,0.4375,-23.17179338876368
2,-1,F3,0.44140625,-22.950452629969803
2,-1,F3,0.4453125,-22.659928126750728
2,-1,F3,0.44921875,-22.307302860858115
2,-1,F3,0.453125,-21.89899909485347
2,-1,F3,0.45703125,-21.543714488907813
2,-1,F3,0.4609375,-21.155017604206556
2,-1,F3,0.46484375,-20.611684701658902
2,-1,F3,0.46875,-19.831933896311497
2,-1,F3,0.47265625,-18.790034040715668
2,-1,F3,0.4765625,-17.51498503060145
2,-1,F3,0.48046875,-16.099125343716878
2,-1,F3,0.484375,-14.697409681930896
2,-1,F3,0.48828125,-13.380216049431032
2,-1,F3,0.4921875,-12.158925225297558
2,-1,F3,0.49609375,-11.073007510980965
2,-1,F3,0.5,-10.094529124962712
2,-1,F3,0.50390625,-9.143309911816399
2,-1,F3,0.5078125,-8.126612576147838
2,-1,F3,0.51171875,-6.921863978590119
2,-1,F3,0.515625,-5.439096946498109
2,-1,F3,0.51953125,-3.887391499026112
2,-1,F3,0.5234375,-2.360448069008319
2,-1,F3,0.52734375,-0.9613909210269469
2,-1,F3,0.53125,0.24130573542432288
2,-1,F3,0.53515625,1.4280893876357865
2,-1,F3,0.5390625,2.586694469798978
2,-1,F3,0.54296875,3.8189363763793533
2,-1,F3,0.546875,5.256318705023354
2,-1,F3,0.55078125,6.996798327588264
2,-1,F3,0.5546875,8.995402584808957
2,-1,F3,0.55859375,11.230792202267256
2,-1,F3,0.5625,13.715702862351211
2,-1,F3,0.56640625,16.213289258897127
2,-1,F3,0.5703125,18.56782336204465
2,-1,F3,0.57421875,20.588932461184058
2,-1,F3,0.578125,22.23531680143565
2,-1,F3,0.58203125,23.751561804288364
2,-1,F3,0.5859375,25.20924721442296
2,-1,F3,0.58984375,26.70073506717405
2,-1,F3,0.59375,28.389796641809163
2,-1,F3,0.59765625,30.19062196609071
2,-1,F3,0.6015625,31.981489525014865
2,-1,F3,0.60546875,33.67278622626666
2,-1,F3,0.609375,35.194321444075406
2,-1,F3,0.61328125,36.40413926149834
2,-1,F3,0.6171875,37.238239294964394
2,-1,F3,0.62109375,37.867480068535855
2,-1,F3,0.625,38.32042748138649
2,-1,F3,0.62890625,38.71147497294485
2,-1,F3,0.6328125,39.13032708159926
2,-1,F3,0.63671875,39.57401115313887
2,-1,F3,0.640625,40.16358300387105
2,-1,F3,0.64453125,40.756760827450485
2,-1,F3,0.6484375,41.27564959925547
2,-1,F3,0.65234375,41.711842031184176
2,-1,F3,0.65625,42.00527024371836
2,-1,F3,0.66015625,42.18874694223182
2,-1,F3,0.6640625,42.25475554674198
