task,direction,source,time_s,value
2,1,L,0.4765625,0.12129302102665857
2,1,L,0.48046875,0.12203810447375023
2,1,L,0.484375,0.1227747388807907
2,1,L,0.48828125,0.12350296047469429
2,1,L,0.4921875,0.12422280666138716
2,1,L,0.49609375,0.12493431596457402
2,1,L,0.5,0.12563752796665464
2,1,L,0.50390625,0.1263324832517221
2,1,L,0.5078125,0.12701922335057722
2,1,L,0.51171875,0.12769779068769496
2,1,L,0.515625,0.12836822853008104
2,1,L,0.51953125,0.12903058093795797
2,1,L,0.5234375,0.1296848927172227
2,1,L,0.52734375,0.13033120937361828
2,1,L,0.53125,0.13096957706856513
2,1,L,0.53515625,0.13160004257659805
2,1,L,0.5390625,0.13222265324435736
2,1,L,0.54296875,0.13283745695108376
2,1,L,0.546875,0.1334445020705682
2,1,L,0.55078125,0.13404383743450968
2,1,L,0.5546875,0.13463551229723475
2,1,L,0.55859375,0.13521957630173492
2,1,L,0.5625,0.13579607944697847
2,1,L,0.56640625,0.1363650720564551
2,1,L,0.5703125,0.13692660474791307
2,1,L,0.57421875,0.13748072840424974
2,1,L,0.578125,0.1380274941455175
2,1,L,0.58203125,0.13856695330200816
2,1,L,0.5859375,0.13909915738838083
2,1,L,0.58984375,0.13962415807879802
2,1,L,0.59375,0.14014200718303724
2,1,L,0.59765625,0.1406527566235454
2,1,L,0.6015625,0.14115645841340482
2,1,L,0.60546875,0.14165316463518057
2,1,L,0.609375,0.14214292742061962
2,1,L,0.61328125,0.14262579893117366
2,1,L,0.6171875,0.1431018313393177
2,1,L,0.62109375,0.14357107681063805
2,1,L,0.625,0.14403358748666395
2,1,L,0.62890625,0.14448941546841748
2,1,L,0.6328125,0.14493861280065798
2,1,L,0.63671875,0.14538123145679738
2,1,L,0.640625,0.14581732332446376
2,1,L,0.64453125,0.1462469401916913
2,1,L,0.6484375,0.1466701337337152
2,1,L,0.65234375,0.14708695550035134
2,1,L,0.65625,0.1474974569039403
2,1,L,0.66015625,0.14790168920783706
2,1,L,0.6640625,0.1482997035154271
2,1,L,0.66796875,0.14869155075965157
2,1,L,0.671875,0.1490772816930234
2,1,L,0.67578125,0.14945694687811784
2,1,L,0.6796875,0.14983059667852097
2,1,L,0.68359375,0.15019828125022047
2,1,L,0.6875,0.15056005053342303
2,1,L,0.69140625,0.15091595424478385
2,1,L,0.6953125,0.15126604187003392
2,1,L,0.69921875,0.1516103626569909
2,1,L,0.703125,0.15194896560894047
2,1,L,0.70703125,0.15228189947837498
2,1,L,0.7109375,0.15260921276107697
2,1,L,0.71484375,0.15293095369053517
2,1,L,0.71875,0.15324717023268136
2,1,L,0.72265625,0.15355791008093683
2,1,L,0.7265625,0.15386322065155705
2,1,L,0.73046875,0.15416314907926423
2,1,L,0.734375,0.15445774221315722
2,1,L,0.73828125,0.15474704661288896
2,1,L,0.7421875,0.15503110854510166
2,1,L,0.74609375,0.15530997398011054
2,1,L,0.75,0.15558368858882682
2,1,L,0.75390625,0.1558522977399115
2,1,L,0.7578125,0.15611584649715132
2,1,L,0.76171875,0.1563743796170488
2,1,L,0.765625,0.15662794154661833
2,1,L,0.76953125,0.15687657642138067
2,1,L,0.7734375,0.15712032806354875
2,1,L,0.77734375,0.15735923998039705
2,1,L,0.78125,0.15759335536280822
2,1,L,0.78515625,0.15782271708398976
2,1,L,0.7890625,0.1580473676983546
2,1,L,0.79296875,0.15826734944055912
2,1,L,0.796875,0.1584827042246928
2,1,L,0.80078125,0.15869347364361322
2,1,R,-0.19921875,0.0
2,1,R,-0.1953125,0.0
2,1,R,-0.19140625,0.0
2,1,R,-0.1875,0.0
2,1,R,-0.18359375,0.0
2,1,R,-0.1796875,0.0
