fold,scheme,false_positive_rate,true_positive_rate
A_to_B,source,0.4,0.3950617283950617
A_to_B,source,0.41333333333333333,0.3950617283950617
A_to_B,source,0.41333333333333333,0.4074074074074074
A_to_B,source,0.4266666666666667,0.4074074074074074
A_to_B,source,0.4266666666666667,0.4444444444444444
A_to_B,source,0.48,0.4444444444444444
A_to_B,source,0.48,0.5308641975308642
A_to_B,source,0.49333333333333335,0.5308641975308642
A_to_B,source,0.49333333333333335,0.5432098765432098
A_to_B,source,0.5333333333333333,0.5432098765432098
A_to_B,source,0.5333333333333333,0.5555555555555556
A_to_B,source,0.5466666666666666,0.5555555555555556
A_to_B,source,0.5466666666666666,0.5802469135802469
A_to_B,source,0.5733333333333334,0.5802469135802469
A_to_B,source,0.5733333333333334,0.5925925925925926
A_to_B,source,0.6,0.5925925925925926
A_to_B,source,0.6,0.6049382716049383
A_to_B,source,0.6133333333333333,0.6049382716049383
A_to_B,source,0.6133333333333333,0.6172839506172839
A_to_B,source,0.6266666666666667,0.6172839506172839
A_to_B,source,0.6266666666666667,0.6790123456790124
A_to_B,source,0.6666666666666666,0.6790123456790124
A_to_B,source,0.6666666666666666,0.691358024691358
A_to_B,source,0.68,0.691358024691358
A_to_B,source,0.68,0.7037037037037037
A_to_B,source,0.7066666666666667,0.7037037037037037
A_to_B,source,0.7066666666666667,0.7283950617283951
A_to_B,source,0.72,0.7283950617283951
A_to_B,source,0.72,0.7407407407407407
A_to_B,source,0.7333333333333333,0.7407407407407407
A_to_B,source,0.7333333333333333,0.7530864197530864
A_to_B,source,0.7466666666666667,0.7530864197530864
A_to_B,source,0.7466666666666667,0.7654320987654321
A_to_B,source,0.7733333333333333,0.7654320987654321
A_to_B,source,0.7733333333333333,0.7777777777777778
A_to_B,source,0.7866666666666666,0.7777777777777778
A_to_B,source,0.7866666666666666,0.8024691358024691
A_to_B,source,0.8,0.8024691358024691
A_to_B,source,0.8,0.8148148148148148
A_to_B,source,0.8133333333333334,0.8148148148148148
A_to_B,source,0.8133333333333334,0.8518518518518519
A_to_B,source,0.8266666666666667,0.8518518518518519
A_to_B,source,0.8266666666666667,0.8641975308641975
A_to_B,source,0.84,0.8641975308641975
A_to_B,source,0.84,0.8888888888888888
A_to_B,source,0.8933333333333333,0.8888888888888888
A_to_B,source,0.8933333333333333,0.9259259259259259
A_to_B,source,0.96,0.9259259259259259
A_to_B,source,0.96,0.9506172839506173
A_to_B,source,0.9866666666666667,0.9506172839506173
A_to_B,source,0.9866666666666667,0.9876543209876543
A_to_B,source,1.0,0.9876543209876543
A_to_B,source,1.0,1.0
A_to_B,scalp,0.0,0.0
A_to_B,scalp,0.013333333333333334,0.0
A_to_B,scalp,0.013333333333333334,0.024691358024691357
A_to_B,scalp,0.05333333333333334,0.024691358024691357
A_to_B,scalp,0.05333333333333334,0.09876543209876543
A_to_B,scalp,0.10666666666666667,0.09876543209876543
A_to_B,scalp,0.10666666666666667,0.12345679012345678
A_to_B,scalp,0.16,0.12345679012345678
A_to_B,scalp,0.16,0.14814814814814814
A_to_B,scalp,0.18666666666666668,0.14814814814814814
A_to_B,scalp,0.18666666666666668,0.1728395061728395
A_to_B,scalp,0.24,0.1728395061728395
A_to_B,scalp,0.24,0.18518518518518517
A_to_B,scalp,0.26666666666666666,0.18518518518518517
A_to_B,scalp,0.26666666666666666,0.19753086419753085
A_to_B,scalp,0.29333333333333333,0.19753086419753085
A_to_B,scalp,0.29333333333333333,0.20987654320987653
A_to_B,scalp,0.36,0.20987654320987653
A_to_B,scalp,0.36,0.2222222222222222
A_to_B,scalp,0.37333333333333335,0.2222222222222222
A_to_B,scalp,0.37333333333333335,0.2716049382716049
A_to_B,scalp,0.38666666666666666,0.2716049382716049
