task,direction,channel,time_s,train_observed,heldout_observed,fitted
2,1,F3,0.0,7.598146149936392,5.975679291096446,0.0
2,1,F3,0.00390625,7.853344149495026,6.621099838676995,-0.012362660257029347
2,1,F3,0.0078125,8.21014001462929,7.441139098453594,-0.04862852182715
2,1,F3,0.01171875,8.615042806323494,8.22266234211399,-0.1076371246336501
2,1,F3,0.015625,8.995783477549798,8.595729896484103,-0.18826564581311298
2,1,F3,0.01953125,9.430175334473597,8.707165716256288,-0.2894285728375342
2,1,F3,0.0234375,9.867908070498675,8.291542159185308,-0.4100772609938172
2,1,F3,0.02734375,10.382068688322796,7.65581346149017,-0.5491993925415506
2,1,F3,0.03125,11.238187795118309,7.059116347305064,-0.7058183531993868
2,1,F3,0.03515625,12.215423875647497,6.5054697292248305,-0.8789925400285024
2,1,F3,0.0390625,13.305555028281372,6.179071851448281,-1.0678146132973672
2,1,F3,0.04296875,14.343427719646773,5.997639493860162,-1.2714107035303002
2,1,F3,0.046875,14.972562416687554,6.1200018413362045,-1.4889395836648167
2,1,F3,0.05078125,15.336162608835577,6.402896787242972,-1.7195918150690261
2,1,F3,0.0546875,15.375727461182413,6.610217595825598,-1.9625888750977825
2,1,F3,0.05859375,15.235474276947109,6.836247696886819,-2.21718227289118
2,1,F3,0.0625,14.928587106479076,7.22260962699401,-2.4826526592365323
2,1,F3,0.06640625,14.59945985617298,7.632656142986323,-2.758308935519794
2,1,F3,0.0703125,14.451551818506042,7.973128468017593,-3.0434873660786996
2,1,F3,0.07421875,14.455973237094474,8.275145727342755,-3.337550697631851
2,1,F3,0.078125,14.778088027518542,8.395708348470151,-3.639887288889537
2,1,F3,0.08203125,15.310172465228618,8.489016075724798,-3.9499102529475354
2,1,F3,0.0859375,16.041661024922476,8.621439625756487,-4.2670566146187925
2,1,F3,0.08984375,16.925304298151804,8.809838428330961,-4.590786484464433
2,1,F3,0.09375,17.89261375124288,9.299126080680052,-4.920582250939891
2,1,F3,0.09765625,18.94786801197676,9.885512564583944,-5.255947791769408
2,1,F3,0.1015625,20.042292120965413,10.515850902131415,-5.596407705398281
2,1,F3,0.10546875,21.18963817987256,11.12032157921206,-5.941506563143004
2,1,F3,0.109375,22.408179666477345,11.479073863378247,-6.29080818246117
2,1,F3,0.11328125,23.657910833791565,11.715468677435911,-6.643894921592175
2,1,F3,0.1171875,24.969353709743466,11.758057603804538,-7.0003669956734385
2,1,F3,0.12109375,26.28432874637813,11.709806478719281,-7.3598418143120865
2,1,F3,0.125,27.4727296406045,11.753857716896047,-7.7219533404864364
2,1,F3,0.12890625,28.59253212269306,11.793204984393428,-8.08635147056276
2,1,F3,0.1328125,29.694709313972826,11.870584625192246,-8.452701435138817
2,1,F3,0.13671875,30.742402732925036,11.930212036763805,-8.820683220364478
2,1,F3,0.140625,31.701621035272588,11.821853571341537,-9.189991009340035
2,1,F3,0.14453125,32.57219977914892,11.668785580096907,-9.392575518798905
2,1,F3,0.1484375,33.38762388294174,11.426354838720226,-9.43261223608373
2,1,F3,0.15234375,34.11962353464869,11.215985836388466,-9.321217603774818
2,1,F3,0.15625,34.64603653192678,11.211688367151634,-9.070366923897764
2,1,F3,0.16015625,35.09343888235994,11.346759767284995,-8.692374288388518
2,1,F3,0.1640625,35.438082246549385,11.774795311365443,-8.199469004216922
2,1,F3,0.16796875,35.76931935244631,12.341864953340547,-7.60347433012312
2,1,F3,0.171875,36.37057383830247,12.941085344042543,-6.915582427079151
2,1,F3,0.17578125,37.066427302292716,13.545155642770174,-6.146212474192798
2,1,F3,0.1796875,37.78359331135968,14.101184265034176,-5.304936010581196
2,1,F3,0.18359375,38.499142200040836,14.610770051807728,-4.40045349910014
2,1,F3,0.1875,39.181253903673806,14.866264002143996,-3.4406077116812632
2,1,F3,0.19140625,39.799759208018564,15.058740556032062,-2.4324219100636704
2,1,F3,0.1953125,40.27427561832823,15.275859325172519,-1.3821533368504149
2,1,F3,0.19921875,40.656838595991,15.552070284307746,-0.29535488999191806
2,1,F3,0.203125,40.84021728626185,16.068604342986347,0.8230601366002759
2,1,F3,0.20703125,40.96944639900817,16.679525504722108,1.9687537496020333
2,1,F3,0.2109375,41.121918526703176,17.49241273315082,3.1379016549339624
2,1,F3,0.21484375,41.33879390154641,18.322004167678717,4.327135709306056
2,1,F3,0.21875,41.80115940173699,18.88702077371114,5.533491124226799
2,1,F3,0.22265625,42.406898547304166,19.315153293952662,6.75435867481772
2,1,F3,0.2265625,43.195335264013266,19.491697881691987,7.987441871244897
2,1,F3,0.23046875,44.08659575185747,19.576901687198657,9.230718866975334
2,1,F3,0.234375,44.989928230161645,19.61888268565362,10.482408772805798
2,1,F3,0.23828125,45.9059085824167,19.690042840483063,11.740941994119588
2,1,F3,0.2421875,46.80665190825273,20.0611271045289,13.004934193061914
2,1,F3,0.24609375,47.68483096012939,20.548993578165707,14.273163484352402
2,1,F3,0.25,48.46961179277273,21.223457204465372,15.544550494204728
2,1,F3,0.25390625,49.203346007267555,21.929276079311062,16.818140940083218
2,1,F3,0.2578125,49.9219164860332,22.420232389901344,18.093090420642916
2,1,F3,0.26171875,50.61844109554859,22.80556478377256,19.36865113748693
2,1,F3,0.265625,51.26258357405348,22.934794322235348,20.64416030166784
2,1,F3,0.26953125,51.88905736098713,23.002988127323025,21.919030007193356
2,1,F3,0.2734375,52.54650457495754,23.055909270925817,23.192738380672594
2,1,F3,0.27734375,53.2186004688143,23.192360961297396,24.464821840468858
2,1,F3,0.28125,53.903157887994944,23.73267310089888,25.734868320309687
2,1,F3,0.28515625,54.60419471423781,24.464701247054105,27.002511331365326
2,1,F3,0.2890625,55.33127350966127,25.510009068588474,28.267424753525923
2,1,F3,0.29296875,56.08092827115789,26.636229884287324,29.529318261200565
2,1,F3,0.296875,56.84526445240708,27.585494828628892,30.787933301649826
2,1,F3,0.30078125,57.61624637449469,28.418754063300508,32.043039554865715
2,1,F3,0.3046875,58.454670131759684,28.845565283107216,33.29443181353345
2,1,F3,0.30859375,59.28862738330572,29.12720939918364,34.541927229836546
2,1,F3,0.3125,60.04519811795305,29.33435626866454,35.78536288296863
2,1,F3,0.31640625,60.73404255398263,29.552190751840726,37.0245936273435
2,1,F3,0.3203125,61.32280949977666,30.122320820128113,38.25949018678161
2,1,F3,0.32421875,61.837029353514716,30.821623415107826,39.48993746451147
2,1,F3,0.328125,62.210381726394516,31.69679941707057,40.71583304276054
2,1,F3,0.33203125,62.53928762269298,32.621337332572594,41.93708584910785
2,1,F3,0.3359375,62.84884528044026,33.25479180681621,43.15361496970631
2,1,F3,0.33984375,63.1771118727592,33.78961589813005,44.36534859202027
2,1,F3,0.34375,63.72779385524834,34.3008231043657,45.57222306192007
2,1,F3,0.34765625,64.36960070441827,34.76877198219587,46.774182041877054
2,1,F3,0.3515625,65.00618490984449,35.33299530992983,47.97117575865157
2,1,F3,0.35546875,65.64887783054498,35.86345301005126,49.16316033029695
2,1,F3,0.359375,66.32734368960958,36.28573581001184,50.3500971635469
2,1,F3,0.36328125,66.95866300833433,36.58405865539186,51.531952413733684
2,1,F3,0.3671875,67.54554160499994,36.646999620281896,52.70869650032772
2,1,F3,0.37109375,68.03039035769993,36.53694704642439,53.88030367200964
2,1,F3,0.375,68.15853182971603,36.22674192890916,55.046751615902885
2,1,F3,0.37890625,68.12836310617574,35.80197210703864,56.20802110622151
2,1,F3,0.3828125,67.96291705783898,35.20430890558795,57.36409568813633
2,1,F3,0.38671875,67.77409980001035,34.58166048994255,58.514961393142634
2,1,F3,0.390625,67.70629764920783,34.13241430789703,59.66060648263476
2,1,F3,0.39453125,67.75949040041279,33.815641239835415,60.8010212167623
2,1,F3,0.3984375,68.08319277545027,33.72802550036528,61.93619764596884
2,1,F3,0.40234375,68.55981757694872,33.78627628719941,63.06612942290083
2,1,F3,0.40625,69.3153320496354,34.092390849103225,64.19081163262646
2,1,F3,0.41015625,70.1636440192904,34.48587036899707,65.31024063932793
2,1,F3,0.4140625,70.85032529420297,34.809796031791464,66.42441394782756
2,1,F3,0.41796875,71.46126642302393,35.1186853670104,67.53333007848234
2,1,F3,0.421875,71.90157068487662,35.12543317532494,68.63698845413646
2,1,F3,0.42578125,72.25806048993411,35.101991380299076,69.73538929795781
2,1,F3,0.4296875,72.553476605983,35.267083383230876,70.82853354110652
2,1,F3,0.43359375,72.84615699234719,35.58437483003464,71.91642273929145
2,1,F3,0.4375,73.15461474196114,36.274692115301676,72.9990589973669
2,1,F3,0.44140625,73.54169784378706,37.143420783009695,74.07644490120725
2,1,F3,0.4453125,74.12980577264744,38.237798584171216,75.14858345617375
2,1,F3,0.44921875,74.85931964807423,39.41226451430617,76.21547803155602
2,1,F3,0.453125,75.86032510263155,40.29246187515094,77.27713231043121
2,1,F3,0.45703125,76.99114562216603,41.056115645438666,78.33355024443918
2,1,F3,0.4609375,78.121702250238,41.85143714565244,79.38473601301959
2,1,F3,0.46484375,79.27205450158182,42.60018061370568,80.43069398670181
2,1,F3,0.46875,80.34356181440563,43.17084138282748,81.47142869407668
