index,split,y,task,左源投影,右源投影,公共源投影,左右源差,归一选择指数,左模板误差,右模板误差,最佳时间偏移
85,train,1,1,4.038082214407669,-2.9874758667223578,-0.6158657192223751,7.0255580811300264,0.9999998576625734,37.506688575641256,37.786106029983344,0.0390625
86,train,1,1,-2.5626218991259617,1.6749625966511101,-0.739039722246862,-4.237584495777072,-0.9999997640165605,17.436906308249586,17.436906308249586,0.0
88,train,1,1,-5.101271506323782,1.4494841950934336,3.7702987005551223,-6.5507557014172155,-0.9999998473458799,78.38553181981463,78.38553181981463,0.0390625
89,train,1,1,-0.38359373021938026,1.9546356601963082,3.8072591833794123,-2.3382293904156883,-0.999999572326147,22.756164847441312,22.69067131449495,0.0
90,train,-1,1,5.885546394541007,12.07480926686056,2.1481321516212355,-6.189262872319554,-0.3446069022460361,47.1346392953697,44.05970062912749,0.0
91,train,1,1,1.0353912678795756,-0.053493438965880796,1.8882969186597343,1.0888847068454564,0.9999990816299694,11.51700349498672,11.558143483912788,-0.0390625
92,train,1,1,0.3933941150856192,0.7131153443360633,4.736533894074378,-0.31972122925044405,-0.28894551021013065,34.12444832159535,34.12444832159535,0.0390625
93,train,1,1,-0.6296014385105391,0.9192970037019706,-0.8120026321317448,-1.5488984422125096,-0.9999993543802956,11.785584853392473,11.685655426672437,-0.0390625
94,train,-1,1,-1.3853705461050319,2.3622854867791947,-0.03154611575490248,-3.7476560328842266,-0.9999997331666182,23.56013252040818,23.350754385974216,-0.0390625
95,train,1,1,0.08228049542462904,1.8315596818459585,0.21174979266080857,-1.7492791864213295,-0.9140148133483328,18.46665096018852,18.233510328780635,-0.0390625
96,train,1,1,-2.67937542808899,-1.2567928597164144,5.227925516748492,-1.4225825683725755,-0.3614129536501035,104.45392606015895,104.45392606015895,0.0390625
98,train,-1,1,1.1087006533986064,-0.09299188206054036,2.197642394873684,1.2016925354591468,0.9999991678410756,13.028091076301983,13.075317328959976,0.0390625
99,train,1,1,-2.0466851921656737,3.677742906216981,0.8061094110902375,-5.7244280983826545,-0.9999998253100907,19.23943731000447,18.752913745051508,0.0390625
100,train,1,2,-0.550824775151531,-1.3274049163630863,-1.6015167171031557,0.7765801412115553,0.41346366275450225,129.23010933322655,129.23010933322655,0.0390625
101,train,-1,2,1.5188617580516073,1.876958761906617,-0.4823323657278208,-0.35809700385500975,-0.10545224528155268,118.68887110849481,118.68887110849481,-0.0390625
102,train,-1,2,0.0984808179905684,0.21197150519420657,0.3873218713754062,-0.11349068720363817,-0.3655644141264064,26.518124466435097,26.471288461463892,-0.0390625
103,train,-1,2,0.619360581296442,0.4479159578341709,-0.038757825069773585,0.17144462346227113,0.16063733862695842,33.75216965710007,33.75216965710007,0.0
104,train,1,2,-0.6439535944463527,-0.7163674313470657,-0.040551193100324984,0.07241383690071301,0.05323286363644453,40.40455452395642,40.41119328345654,0.0390625
105,train,-1,2,1.436934578726095,1.7412810899823963,1.0168769359001246,-0.3043465112563013,-0.09576015199114049,62.503118324602134,62.426241267173225,0.0390625
106,train,1,2,-0.3107656978590287,-0.39779115182100955,-0.1232186351309853,0.08702545396198086,0.12282053469773671,25.490024822944026,25.491874836882026,0.0390625
107,train,1,2,0.5032103586139887,0.8053559908605367,1.2190909555489415,-0.302145632246548,-0.23089803697752287,34.22742249724164,33.9777464417133,0.0390625
108,train,-1,2,0.4132511784927548,0.6098235542828183,0.654092356262587,-0.19657237579006354,-0.19213863597054415,22.091623135813055,21.963144781600107,0.0390625
109,train,-1,2,0.35854700132323203,0.1793630174906207,1.6522994128053594,0.17918398383261133,0.33311082607627157,30.797300149026313,31.088565070721174,0.0
110,train,1,2,0.4388277108967645,0.8928736037693099,0.4358684754359939,-0.45404589287254543,-0.3409514933421122,38.65702245666845,38.57559055373403,0.0390625
111,train,1,2,-1.1807166557438684,-1.4242791078830808,1.2055139822995666,0.24356245213921235,0.09349817840084347,57.863950730113004,58.06845935840636,0.0
112,train,1,2,-0.6463064078968338,-1.0256215323433795,0.27017588575484636,0.3793151244465457,0.22687275476674734,64.6891802438568,64.7784047994076,-0.0390625
113,train,-1,2,1.616811126520184,2.363567294782968,2.7896992812435255,-0.7467561682627839,-0.18760929278905286,69.24444678333813,68.47297079451468,0.0
114,train,-1,2,1.4262553460480847,2.000343467440634,1.0376762571047535,-0.5740881213925495,-0.16753871261320533,53.050224439781786,52.8774973255885,0.0390625
115,train,-1,2,-0.11416724564904633,0.06318896865472945,-0.5761071331469331,-0.1773562143037758,-0.9999943616615544,55.625810198974044,55.625810198974044,0.0390625
116,train,1,2,-0.06276028915316621,-0.142034602410305,1.9684443859014622,0.07927431325713878,0.38708937299442725,83.07208632595724,83.13317276598468,0.0
118,train,-1,2,-0.13549813839299268,-1.0156570903490525,2.4572707571586565,0.8801589519560598,0.7645868822843234,83.13516762013066,84.00106390861919,0.0
119,train,-1,2,0.6258172237187309,0.8321484761283489,1.3048917963622366,-0.20633125240961792,-0.14151986628450375,32.83817572237993,32.65359635580382,0.0390625
120,train,1,2,0.7726501520621892,1.3963474307184636,0.6181725629099725,-0.6236972786562743,-0.2875508004512826,50.61408399607572,50.50147277302681,0.0390625
123,train,1,2,-0.07914913277325818,-0.1290114903148087,0.27774234934829495,0.04986235754155054,0.2395367445826231,10.441317026410873,10.476888017272065,0.0390625
124,train,-1,2,0.6700444172438942,1.03906448211762,1.4857428189042012,-0.36902006487372585,-0.21591359631793347,38.437741307635186,38.11378524415528,0.0390625
125,train,-1,2,0.4165165921274075,0.6648132533961745,0.6932481650751323,-0.24829666126876698,-0.22962136176605727,34.056056775521895,33.92844552279478,-0.0390625
126,train,1,2,-0.17604032924510127,-0.8911928733561988,1.8433484205068087,0.7151525441110975,0.6700989739346519,66.6143299815492,67.29068584502242,0.0
127,train,1,2,1.0422214312002975,0.8909442604083608,1.454275861722398,0.1512771707919367,0.07825355746536966,37.904353077391555,38.038281646473614,0.0390625
128,train,1,2,0.2043950924723628,-0.44204464909151076,2.6145268560882013,0.6464397415638735,0.9999984530677977,72.91904918470506,73.66487176759045,0.0
131,train,-1,2,0.19428193843163674,-0.011284735194889105,0.2878837827957803,0.20556667362652584,0.9999951354219155,24.713467665621486,24.783651690831096,-0.0390625
134,train,-1,2,0.22545576453949023,-0.022326412077160244,0.7984092703330026,0.24778217661665047,0.9999959642134965,31.24537561292452,31.43649447149997,0.0
135,train,1,2,0.32318757429538636,0.5488620725788854,0.027507257644729294,-0.22567449828349906,-0.2587859995200895,28.012326319207205,28.012326319207205,-0.0390625
136,train,1,2,1.5126633497676116,0.9286562516650788,0.9311904306161713,0.5840070981025328,0.23921769953516467,65.22431088519352,65.37064553895486,0.0390625
137,train,-1,2,0.09260530885359311,-0.06332535485195377,0.7519161295958149,0.15593066370554687,0.9999935869343259,32.74568925599342,32.84289290486396,0.0390625
139,train,-1,2,-0.31758186957176315,-1.3748225299493355,1.526562593957082,1.0572406603775724,0.6246970499365818,83.36921364715703,84.07063243358697,0.0
141,train,-1,2,-0.024572940922575903,0.04339568082998458,0.321420494765427,-0.06796862175256048,-0.9999852875450206,27.419462412159888,27.396238168830166,-0.0390625
143,train,-1,2,0.3162961892599897,0.6899354336440422,0.3990727075501083,-0.3736392443840525,-0.37132491620646635,49.66113499193163,49.6064267795312,0.0390625
145,train,-1,2,0.2142782355358018,0.36817899833017254,1.478144706309111,-0.15390076279437073,-0.2642262635260193,37.046114978265464,36.87169531406398,0.0
146,train,-1,2,-0.4580495880583786,-1.0789129235093344,0.18116847750504378,0.6208633354509558,0.4039545056067539,36.81426792179728,37.01587524739427,0.0
147,train,-1,2,1.0165650789754692,0.698550483904137,-0.19247988902955027,0.31801459507133223,0.1854186484779784,68.79610139248146,68.79610139248146,-0.0390625
149,train,1,2,-0.5471111687924977,1.1130228405728981,-1.6433299939566388,-1.6601340093653958,-0.9999993976393521,181.60811790515058,181.60811790515058,0.0390625
150,train,-1,2,-3.22754056962313,-4.673685515067303,1.9551217281868738,1.4461449454441735,0.18302789300237315,166.53407289116447,167.3515315850421,0.0
152,train,1,2,0.2157672882507821,0.25219779923433927,0.6884242199347554,-0.03643051098355718,-0.07784861330302159,31.75237126357644,31.732341485715715,0.0
153,train,-1,2,0.49627538540131927,0.8495750629619688,2.885407957048081,-0.35329967756064956,-0.2625101588962906,70.26176147547726,69.86195835487969,0.0
155,train,1,2,0.6166847280335168,-0.6689356117998775,2.3088257587374494,1.2856203398333943,0.9999992221659917,66.92041508438997,68.14000058005959,0.0390625
156,train,1,2,-0.04649221329803417,-0.3616787012892698,-0.8195463836898658,0.31518648799123566,0.7721905322905807,74.82196625092027,74.82196625092027,0.0390625
157,train,1,2,0.609884108043097,1.0468180730355139,1.3637105291271352,-0.4369339649924169,-0.2637370230121411,44.22598119309585,43.92338352588644,0.0390625
158,train,1,2,0.7923131302728068,1.1260389732401477,1.1961167613490817,-0.33372584296734087,-0.17396476298143995,36.65930017106135,36.43464681105665,0.0390625
159,train,1,2,-0.03222624400520316,-1.3986473875869059,1.786078696701836,1.3664211435817026,0.9549551815460658,81.01399891674944,82.06067161201585,0.0
160,train,-1,2,1.4338964493404402,0.18898021148984454,0.5857871478440532,1.2449162378505958,0.7671041803691357,63.82923499072025,64.02664112371559,0.0390625
163,train,-1,2,-0.043573650428888354,1.4268386210475013,1.7006700210194396,-1.4704122714763896,-0.9999993199190872,117.77167759080194,117.17739597506417,-0.0390625
