file,outer_fold,method,highpass,auc,split_half,baseline_std,event_stat,valid_trials
VisualCogB_Task-2.mat,1,B2,0.5,0.6190476190476191,0.674416882951231,10.541728222167428,-3.3309801083209836,10
VisualCogB_Task-2.mat,1,B3,0.5,0.39285714285714285,0.42141564256521863,109.96409878220497,-2.3672574108690387,19
VisualCogB_Task-2.mat,1,B4,0.1,0.38095238095238093,0.9521637213816022,52.200367863690715,1.9879731194862256,19
VisualCogB_Task-2.mat,2,B1,0.3,0.5353535353535354,0.1934663331732139,122.20033085099459,-1.6652822215355998,20
VisualCogB_Task-2.mat,2,B2,0.5,0.5,,8.158462415236388,-1.6974104076171144,3
VisualCogB_Task-2.mat,2,B3,0.1,0.5858585858585859,0.2361771890663359,125.08784658331182,2.0429603809019046,20
VisualCogB_Task-2.mat,2,B4,0.3,0.7474747474747475,0.5203934958922458,32.9299542653112,1.8063936888696843,20
VisualCogB_Task-2.mat,3,B1,0.5,0.5164835164835165,0.004032000617547674,77.35794797658988,-5.320311959956241,20
VisualCogB_Task-2.mat,3,B2,0.1,0.5555555555555556,0.7719332472485391,9.43188936292431,0.10660491871429736,6
VisualCogB_Task-2.mat,3,B3,0.5,0.3076923076923077,0.16585532379277187,77.00195381201175,-5.135231004061315,19
VisualCogB_Task-2.mat,3,B4,0.3,0.4358974358974359,0.4815461125962636,63.28507716027138,0.12311149343284022,19
VisualCogB_Task-2.mat,4,B1,0.1,0.3,0.3196127610411293,27.527386612408826,1.4730954025066967,20
VisualCogB_Task-2.mat,4,B2,0.1,0.39285714285714285,0.13936289699555665,19.698099104015526,0.969191494081074,11
VisualCogB_Task-2.mat,4,B3,0.1,0.31,0.3196127610411293,27.527386612408826,1.4730954025066967,20
VisualCogB_Task-2.mat,4,B4,0.3,0.46,0.8624534554981227,30.895151167591887,1.2979043063286262,20
VisualCogB_Task-2.mat,5,B1,0.5,0.4444444444444444,0.3234867164595836,123.03921293978244,-1.7601224090135683,20
VisualCogB_Task-2.mat,5,B2,0.5,0.44,0.848114443212229,12.096897964262643,-2.195178481971976,10
VisualCogB_Task-2.mat,5,B3,0.5,0.5858585858585859,0.32351854401255575,123.00359882398888,-1.7599598544823774,20
VisualCogB_Task-2.mat,5,B4,0.5,0.3939393939393939,-0.45557053165419187,44.28191887782902,0.0153306566125377,20
