mode,fold,scheme,task,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
within,within_A_block4,combined,1,18,0.3888888888888889,0.375,0.37142857142857144,0.4444444444444445,0.3333333333333333,0.4166666666666667,2,4,7,5
within,within_A_block4,combined,2,19,0.7368421052631579,0.6285714285714286,0.6360153256704981,0.6285714285714286,0.8571428571428571,0.4,12,2,3,2
within,within_B_block0,erp,1,18,0.3888888888888889,0.42207792207792205,0.38699690402476783,0.38961038961038963,0.2727272727272727,0.5714285714285714,3,8,3,4
within,within_B_block0,erp,2,12,0.5,0.5625,0.5,0.5625,0.75,0.375,3,1,5,3
within,within_B_block0,source,1,18,0.3333333333333333,0.37662337662337664,0.325,0.5194805194805194,0.18181818181818182,0.5714285714285714,2,9,3,4
within,within_B_block0,source,2,12,0.5,0.375,0.3333333333333333,0.375,0.0,0.75,0,4,2,6
within,within_B_block0,combined,1,18,0.3888888888888889,0.42207792207792205,0.38699690402476783,0.49350649350649345,0.2727272727272727,0.5714285714285714,3,8,3,4
within,within_B_block0,combined,2,12,0.5833333333333334,0.5,0.4957983193277311,0.4375,0.25,0.75,1,3,2,6
within,within_B_block1,erp,1,16,0.25,0.34545454545454546,0.23809523809523808,0.3818181818181818,0.6,0.09090909090909091,3,2,10,1
within,within_B_block1,erp,2,13,0.38461538461538464,0.369047619047619,0.35,0.2857142857142857,0.16666666666666666,0.5714285714285714,1,5,3,4
within,within_B_block1,source,1,16,0.375,0.32727272727272727,0.3333333333333333,0.3272727272727272,0.2,0.45454545454545453,1,4,6,5
within,within_B_block1,source,2,13,0.6153846153846154,0.6190476190476191,0.6153846153846154,0.5952380952380952,0.6666666666666666,0.5714285714285714,4,2,3,4
within,within_B_block1,combined,1,16,0.5,0.4727272727272727,0.4666666666666667,0.3636363636363636,0.4,0.5454545454545454,2,3,5,6
within,within_B_block1,combined,2,13,0.6923076923076923,0.6904761904761905,0.6904761904761905,0.761904761904762,0.6666666666666666,0.7142857142857143,4,2,2,5
within,within_B_block2,erp,1,17,0.6470588235294118,0.5961538461538461,0.575,0.5384615384615385,0.5,0.6923076923076923,2,2,4,9
within,within_B_block2,erp,2,12,0.5,0.5428571428571429,0.4857142857142857,0.8,0.2857142857142857,0.8,2,5,1,4
within,within_B_block2,source,1,17,0.5294117647058824,0.5192307692307692,0.48484848484848486,0.5192307692307692,0.5,0.5384615384615384,2,2,6,7
within,within_B_block2,source,2,12,0.6666666666666666,0.6571428571428571,0.6571428571428571,0.6,0.7142857142857143,0.6,5,2,2,3
within,within_B_block2,combined,1,17,0.7058823529411765,0.7211538461538461,0.6640316205533596,0.7884615384615384,0.75,0.6923076923076923,3,1,4,9
within,within_B_block2,combined,2,12,0.75,0.7571428571428571,0.7482517482517483,0.7142857142857144,0.7142857142857143,0.8,5,2,1,4
within,within_B_block3,erp,1,17,0.4117647058823529,0.4666666666666667,0.4097222222222222,0.5166666666666667,0.3333333333333333,0.6,4,8,2,3
within,within_B_block3,erp,2,17,0.47058823529411764,0.4583333333333333,0.43956043956043955,0.7222222222222222,0.25,0.6666666666666666,2,6,3,6
within,within_B_block3,source,1,17,0.5882352941176471,0.5916666666666667,0.5641025641025641,0.6,0.5833333333333334,0.6,7,5,2,3
within,within_B_block3,source,2,17,0.5294117647058824,0.5347222222222222,0.5277777777777778,0.5972222222222222,0.625,0.4444444444444444,5,3,5,4
within,within_B_block3,combined,1,17,0.6470588235294118,0.6333333333333333,0.6136363636363636,0.7166666666666666,0.6666666666666666,0.6,8,4,2,3
within,within_B_block3,combined,2,17,0.5882352941176471,0.5833333333333333,0.5824561403508772,0.5833333333333333,0.5,0.6666666666666666,4,4,3,6
within,within_B_block4,erp,1,16,0.4375,0.46825396825396826,0.41700404858299595,0.6031746031746033,0.2222222222222222,0.7142857142857143,2,7,2,5
within,within_B_block4,erp,2,18,0.6111111111111112,0.6111111111111112,0.6,0.5679012345679012,0.7777777777777778,0.4444444444444444,7,2,5,4
within,within_B_block4,source,1,16,0.5,0.4920634920634921,0.4920634920634921,0.6349206349206349,0.5555555555555556,0.42857142857142855,5,4,4,3
within,within_B_block4,source,2,18,0.6111111111111112,0.6111111111111112,0.609907120743034,0.5802469135802469,0.5555555555555556,0.6666666666666666,5,4,3,6
within,within_B_block4,combined,1,16,0.625,0.6349206349206349,0.625,0.5396825396825398,0.5555555555555556,0.7142857142857143,5,4,2,5
within,within_B_block4,combined,2,18,0.5,0.5,0.4984520123839009,0.5802469135802469,0.4444444444444444,0.5555555555555556,4,5,4,5
