mode,fold,split,task,space,n,fisher_trace_ratio,squared_mahalanobis,gaussian_plugin_accuracy,relative_distance,deterministic_template_accuracy,relative_antisymmetric_gain,condition_number,operator_condition,alpha
within,within_A_block0,train,2,source,57,0.16631490080454883,0.3282318995945193,0.6127361804096667,,,,,,
within,within_A_block0,test,1,scalp,15,0.07592404508391491,0.18645032891014968,0.5854669458574523,,,,,,
within,within_A_block0,test,1,source,15,0.12416221645909163,0.18645032891014937,0.5854669458574522,,,,,,
within,within_A_block0,test,2,scalp,19,0.043723737618334056,1.017410148895283,0.6929865697721734,,,,,,
within,within_A_block0,test,2,source,19,0.3667884061117082,1.017410148895282,0.6929865697721734,,,,,,
within,within_A_block0,noise_free_assumption,1,specified_source,2,,,,0.17259513557417686,1.0,0.04800825485570025,20.82975111271442,20.813369109808217,1e-05
within,within_A_block0,noise_free_assumption,1,simulated_scalp,2,,,,0.02821736620175605,1.0,0.04800825485570025,20.82975111271442,20.813369109808217,1e-05
within,within_A_block0,noise_free_assumption,2,specified_source,2,,,,0.06498702997583682,1.0,0.04800825485570025,20.82975111271442,20.813369109808217,1e-05
within,within_A_block0,noise_free_assumption,2,simulated_scalp,2,,,,0.004565011042498505,1.0,0.04800825485570025,20.82975111271442,20.813369109808217,1e-05
within,within_A_block1,train,1,scalp,65,0.036792033916042445,0.1118124894440712,0.5663904605458016,,,,,,
within,within_A_block1,train,1,source,65,0.04503554466194414,0.11181248944407078,0.5663904605458014,,,,,,
within,within_A_block1,train,2,scalp,63,0.029638717959424136,0.18594788171939577,0.5853534856303809,,,,,,
within,within_A_block1,train,2,source,63,0.03757049214059069,0.18594788171939583,0.5853534856303809,,,,,,
within,within_A_block1,test,1,scalp,15,0.3678505229334767,0.4079180802187053,0.6252665293211006,,,,,,
within,within_A_block1,test,1,source,15,0.3789502522891946,0.4079180802187064,0.6252665293211007,,,,,,
within,within_A_block1,test,2,scalp,13,0.0029042097860990943,0.17490034199161664,0.5828170363925096,,,,,,
within,within_A_block1,test,2,source,13,0.006633042510654554,0.17490034199161647,0.5828170363925095,,,,,,
within,within_A_block1,noise_free_assumption,1,specified_source,2,,,,0.139064646401319,1.0,0.06789516091028415,14.728590176277622,3.0684523586950627,0.3
within,within_A_block1,noise_free_assumption,1,simulated_scalp,2,,,,0.037941477067589685,1.0,0.06789516091028415,14.728590176277622,3.0684523586950627,0.3
within,within_A_block1,noise_free_assumption,2,specified_source,2,,,,0.08699753339557413,1.0,0.06789516091028415,14.728590176277622,3.0684523586950627,0.3
within,within_A_block1,noise_free_assumption,2,simulated_scalp,2,,,,0.011834802084812118,1.0,0.06789516091028415,14.728590176277622,3.0684523586950627,0.3
within,within_A_block2,train,1,scalp,64,0.02111850373553111,0.02947449558060103,0.53420346967145,,,,,,
within,within_A_block2,train,1,source,64,0.004927253289628494,0.029474495580600876,0.53420346967145,,,,,,
within,within_A_block2,train,2,scalp,61,0.09271017513537966,0.44358729361954663,0.630437291893722,,,,,,
within,within_A_block2,train,2,source,61,0.4004771474348437,0.4435872936195469,0.630437291893722,,,,,,
within,within_A_block2,test,1,scalp,17,0.16774073660006034,0.44511657944111643,0.6306537395671715,,,,,,
within,within_A_block2,test,1,source,17,0.12579255645750373,0.4451165794411186,0.6306537395671719,,,,,,
within,within_A_block2,test,2,scalp,15,0.20438383792525824,1.1526156031811918,0.7042970050297207,,,,,,
