outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,source,0.001,12,lda,0.5,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5357142857142858,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,0.001,12,lda,0.9,34,0.5882352941176471,0.575,0.575,0.5035714285714286,0.65,0.5,13,7,7,7
cross_A_to_B,0,combined,0.001,8,logistic,0.01,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5607142857142857,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,0.001,8,logistic,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.575,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,8,logistic,1.0,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5892857142857143,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,8,logistic,10.0,34,0.5882352941176471,0.6071428571428572,0.5882352941176471,0.5928571428571429,0.5,0.7142857142857143,10,10,4,10
cross_A_to_B,0,combined,0.001,8,svm,0.01,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.5678571428571428,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,8,svm,0.1,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5821428571428572,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,8,svm,1.0,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5857142857142857,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,8,svm,10.0,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5857142857142857,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,8,lda,0.1,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5857142857142857,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,8,lda,0.5,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5714285714285714,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,0.001,8,lda,0.9,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5678571428571428,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,0.001,12,logistic,0.01,34,0.5,0.5107142857142857,0.49956709956709955,0.5750000000000001,0.45,0.5714285714285714,9,11,6,8
cross_A_to_B,0,combined,0.001,12,logistic,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.5785714285714285,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,12,logistic,1.0,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.6214285714285714,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,12,logistic,10.0,34,0.5588235294117647,0.55,0.5490716180371353,0.5964285714285715,0.6,0.5,12,8,7,7
cross_A_to_B,0,combined,0.001,12,svm,0.01,34,0.5,0.5107142857142857,0.49956709956709955,0.575,0.45,0.5714285714285714,9,11,6,8
cross_A_to_B,0,combined,0.001,12,svm,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.6178571428571429,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,12,svm,1.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5928571428571429,0.55,0.5,11,9,7,7
cross_A_to_B,0,combined,0.001,12,svm,10.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5821428571428571,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,combined,0.001,12,lda,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.6107142857142858,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,12,lda,0.5,34,0.5,0.5,0.49607672188317353,0.575,0.5,0.5,10,10,7,7
cross_A_to_B,0,combined,0.001,12,lda,0.9,34,0.5588235294117647,0.55,0.5490716180371353,0.5571428571428572,0.6,0.5,12,8,7,7
cross_A_to_B,0,combined,0.001,15,logistic,0.01,34,0.5,0.5107142857142857,0.49956709956709955,0.5821428571428572,0.45,0.5714285714285714,9,11,6,8
cross_A_to_B,0,combined,0.001,15,logistic,0.1,34,0.5,0.5107142857142857,0.49956709956709955,0.5928571428571429,0.45,0.5714285714285714,9,11,6,8
cross_A_to_B,0,combined,0.001,15,logistic,1.0,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.625,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,15,logistic,10.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5785714285714285,0.55,0.5,11,9,7,7
cross_A_to_B,0,combined,0.001,15,svm,0.01,34,0.5,0.5107142857142857,0.49956709956709955,0.5928571428571429,0.45,0.5714285714285714,9,11,6,8
cross_A_to_B,0,combined,0.001,15,svm,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.6178571428571429,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,15,svm,1.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5714285714285714,0.55,0.5,11,9,7,7
cross_A_to_B,0,combined,0.001,15,svm,10.0,34,0.47058823529411764,0.44285714285714284,0.43956043956043955,0.5571428571428572,0.6,0.2857142857142857,12,8,10,4
cross_A_to_B,0,combined,0.001,15,lda,0.1,34,0.5294117647058824,0.5464285714285715,0.5294117647058824,0.6142857142857143,0.45,0.6428571428571429,9,11,5,9
cross_A_to_B,0,combined,0.001,15,lda,0.5,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5714285714285714,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,0.001,15,lda,0.9,34,0.5294117647058824,0.525,0.5228070175438597,0.5892857142857143,0.55,0.5,11,9,7,7
cross_A_to_B,0,source,0.03,6,logistic,0.01,34,0.6176470588235294,0.6,0.6007226738934056,0.6928571428571428,0.7,0.5,14,6,7,7
cross_A_to_B,0,source,0.03,6,logistic,0.1,34,0.5882352941176471,0.575,0.575,0.6857142857142857,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,logistic,1.0,34,0.5882352941176471,0.575,0.575,0.675,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,logistic,10.0,34,0.5882352941176471,0.575,0.575,0.675,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,svm,0.01,34,0.5882352941176471,0.575,0.575,0.6857142857142857,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,svm,0.1,34,0.5882352941176471,0.575,0.575,0.675,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,svm,1.0,34,0.5882352941176471,0.575,0.575,0.6714285714285715,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,svm,10.0,34,0.5882352941176471,0.575,0.575,0.6714285714285715,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,lda,0.1,34,0.5882352941176471,0.575,0.575,0.675,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,6,lda,0.5,34,0.5882352941176471,0.575,0.575,0.6964285714285715,0.65,0.5,13,7,7,7
