scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
combined,0.001,12,svm,1.0,0.48769403594771243,0.4872473893772068,0.4735075280112045,0.07866147662949842
combined,0.001,12,svm,10.0,0.47739991830065354,0.4872473893772068,0.4571297268907563,0.09106122665961028
combined,0.001,12,lda,0.1,0.5163398692810457,0.517926902561791,0.49660510037348277,0.06303568747852585
combined,0.001,12,lda,0.5,0.4960142390289449,0.5032210202088498,0.5159007352941176,0.06391810638706943
combined,0.001,12,lda,0.9,0.4897642390289449,0.4958680790323793,0.49399363912231553,0.06738220352223784
combined,0.001,15,logistic,0.01,0.4897642390289449,0.4958680790323793,0.48584412931839405,0.06738220352223784
combined,0.001,15,logistic,0.1,0.5147642390289449,0.5198332206445797,0.5077059990662931,0.042190021887777866
combined,0.001,15,logistic,1.0,0.5177287581699346,0.517926902561791,0.5000816993464052,0.07117752839560379
combined,0.001,15,logistic,10.0,0.4716474089635854,0.4725415070242657,0.48609360410830993,0.05137603801146832
combined,0.001,15,svm,0.01,0.5147642390289449,0.5198332206445797,0.5136583800186741,0.042190021887777866
combined,0.001,15,svm,0.1,0.5074112978524743,0.5093062129066186,0.5019243113912232,0.0650223439624667
combined,0.001,15,svm,1.0,0.4716474089635854,0.4725415070242657,0.4925814075630252,0.05137603801146832
combined,0.001,15,svm,10.0,0.5106705182072829,0.507672225978514,0.49826388888888884,0.0717041206511016
combined,0.001,15,lda,0.1,0.5074112978524743,0.5093062129066186,0.5033803104575163,0.0650223439624667
combined,0.001,15,lda,0.5,0.4960142390289449,0.5032210202088498,0.5139808006535947,0.06391810638706943
combined,0.001,15,lda,0.9,0.4975767390289449,0.5032210202088498,0.48457924836601307,0.06647588504893254
source,0.03,6,logistic,0.01,0.53421889589169,0.5408872361205018,0.5466634570494865,0.04172377793956668
source,0.03,6,logistic,0.1,0.5720661181139123,0.5789196904815566,0.576968078898226,0.05841917936903222
source,0.03,6,logistic,1.0,0.5819984243697479,0.5894466982195177,0.5912727591036415,0.05364685082805866
source,0.03,6,logistic,10.0,0.5750539799253035,0.5820937570430471,0.5989612511671335,0.05341595330428247
source,0.03,6,svm,0.01,0.5720661181139123,0.5789196904815566,0.5751998716153128,0.05841917936903222
source,0.03,6,svm,0.1,0.5819984243697479,0.5894466982195177,0.592140814659197,0.05364685082805866
source,0.03,6,svm,1.0,0.5750539799253035,0.5820937570430471,0.5983412114845938,0.05341595330428247
source,0.03,6,svm,10.0,0.5750539799253035,0.5820937570430471,0.6019126400560224,0.05341595330428247
source,0.03,6,lda,0.1,0.5972762021475257,0.6054203290511607,0.5886685924369748,0.07016488099118139
source,0.03,6,lda,0.5,0.5651216736694678,0.571566749305086,0.5697858309990663,0.051862752455660396
source,0.03,6,lda,0.9,0.5411633403361344,0.5482401772969724,0.5421991713352008,0.036937677707014636
source,0.03,12,logistic,0.01,0.583078022875817,0.592357824355796,0.566265464519141,0.0636852328165868
source,0.03,12,logistic,0.1,0.6070976307189543,0.6188584629254,0.5770979225023343,0.05672381784881747
source,0.03,12,logistic,1.0,0.5714460784313725,0.5776519420028547,0.590750466853408,0.05520163143907623
source,0.03,12,logistic,10.0,0.5832137021475257,0.592357824355796,0.5982726423902894,0.07832956460443008
source,0.03,12,svm,0.01,0.6070976307189543,0.6188584629254,0.5835186157796453,0.05672381784881747
source,0.03,12,svm,0.1,0.572562149859944,0.5789196904815566,0.5878238795518207,0.05391552680987178
source,0.03,12,svm,1.0,0.5957137021475256,0.6016170836150552,0.6006608893557424,0.05571694247137869
source,0.03,12,svm,10.0,0.5675887021475257,0.5776519420028547,0.5986023576097106,0.0712855917799287
source,0.03,12,lda,0.1,0.5636335784313725,0.5702990008263842,0.5845179738562092,0.046643906774510246
source,0.03,12,lda,0.5,0.6129260037348273,0.6249436556231689,0.5739422852474323,0.06604507467327578
source,0.03,12,lda,0.9,0.5777092086834734,0.5843663135752385,0.5653623949579831,0.07726433252518665
combined,0.03,8,logistic,0.01,0.6072464402427638,0.6188584629254,0.5328869047619048,0.07982251073865143
combined,0.03,8,logistic,0.1,0.5595281862745098,0.5696698219517693,0.549156746031746,0.07502278394263981
combined,0.03,8,logistic,1.0,0.5966430322128852,0.6096085943956127,0.568421743697479,0.058389309925849314
combined,0.03,8,logistic,10.0,0.5714329481792717,0.5856434527834122,0.5742647058823529,0.04297240529140338
combined,0.03,8,svm,0.01,0.5687295751633987,0.5782905116069417,0.5450571895424836,0.06903740118778415
combined,0.03,8,svm,0.1,0.5841430322128851,0.6003493351363534,0.5722411881419235,0.07410155219939811
combined,0.03,8,svm,1.0,0.5714329481792717,0.5856434527834122,0.5754478874883286,0.04297240529140338
combined,0.03,8,svm,10.0,0.5714329481792717,0.5856434527834122,0.5716138538748833,0.04297240529140338
combined,0.03,8,lda,0.1,0.5919555322128851,0.607702276312824,0.5700440592903828,0.07980823017314355
