mode,scheme,fold,false_positive,true_positive
cross,combined,cross_B_to_A,0.1348314606741573,0.0945945945945946
cross,combined,cross_B_to_A,0.15730337078651685,0.0945945945945946
cross,combined,cross_B_to_A,0.15730337078651685,0.13513513513513514
cross,combined,cross_B_to_A,0.1797752808988764,0.13513513513513514
cross,combined,cross_B_to_A,0.1797752808988764,0.1891891891891892
cross,combined,cross_B_to_A,0.20224719101123595,0.1891891891891892
cross,combined,cross_B_to_A,0.20224719101123595,0.24324324324324326
cross,combined,cross_B_to_A,0.2247191011235955,0.24324324324324326
cross,combined,cross_B_to_A,0.2247191011235955,0.25675675675675674
cross,combined,cross_B_to_A,0.2696629213483146,0.25675675675675674
cross,combined,cross_B_to_A,0.2696629213483146,0.28378378378378377
cross,combined,cross_B_to_A,0.2808988764044944,0.28378378378378377
cross,combined,cross_B_to_A,0.2808988764044944,0.2972972972972973
cross,combined,cross_B_to_A,0.30337078651685395,0.2972972972972973
cross,combined,cross_B_to_A,0.30337078651685395,0.3108108108108108
cross,combined,cross_B_to_A,0.3258426966292135,0.3108108108108108
cross,combined,cross_B_to_A,0.3258426966292135,0.35135135135135137
cross,combined,cross_B_to_A,0.33707865168539325,0.35135135135135137
cross,combined,cross_B_to_A,0.33707865168539325,0.36486486486486486
cross,combined,cross_B_to_A,0.3595505617977528,0.36486486486486486
cross,combined,cross_B_to_A,0.3595505617977528,0.43243243243243246
cross,combined,cross_B_to_A,0.3707865168539326,0.43243243243243246
cross,combined,cross_B_to_A,0.3707865168539326,0.4594594594594595
cross,combined,cross_B_to_A,0.4157303370786517,0.4594594594594595
cross,combined,cross_B_to_A,0.4157303370786517,0.47297297297297297
cross,combined,cross_B_to_A,0.4606741573033708,0.47297297297297297
cross,combined,cross_B_to_A,0.4606741573033708,0.527027027027027
cross,combined,cross_B_to_A,0.48314606741573035,0.527027027027027
cross,combined,cross_B_to_A,0.48314606741573035,0.5405405405405406
cross,combined,cross_B_to_A,0.5955056179775281,0.5405405405405406
cross,combined,cross_B_to_A,0.5955056179775281,0.5675675675675675
cross,combined,cross_B_to_A,0.6179775280898876,0.5675675675675675
cross,combined,cross_B_to_A,0.6179775280898876,0.581081081081081
cross,combined,cross_B_to_A,0.6292134831460674,0.581081081081081
cross,combined,cross_B_to_A,0.6292134831460674,0.6081081081081081
cross,combined,cross_B_to_A,0.6404494382022472,0.6081081081081081
cross,combined,cross_B_to_A,0.6404494382022472,0.6216216216216216
cross,combined,cross_B_to_A,0.651685393258427,0.6216216216216216
cross,combined,cross_B_to_A,0.651685393258427,0.6351351351351351
cross,combined,cross_B_to_A,0.6966292134831461,0.6351351351351351
cross,combined,cross_B_to_A,0.6966292134831461,0.6891891891891891
cross,combined,cross_B_to_A,0.7191011235955056,0.6891891891891891
cross,combined,cross_B_to_A,0.7191011235955056,0.7162162162162162
cross,combined,cross_B_to_A,0.7640449438202247,0.7162162162162162
cross,combined,cross_B_to_A,0.7640449438202247,0.7297297297297297
cross,combined,cross_B_to_A,0.7865168539325843,0.7297297297297297
cross,combined,cross_B_to_A,0.7865168539325843,0.7432432432432432
cross,combined,cross_B_to_A,0.797752808988764,0.7432432432432432
cross,combined,cross_B_to_A,0.797752808988764,0.7837837837837838
cross,combined,cross_B_to_A,0.8202247191011236,0.7837837837837838
cross,combined,cross_B_to_A,0.8202247191011236,0.7972972972972973
