scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
combined,0.03,8,svm,0.01,0.5352170868347339,0.5286878264819441,0.5707580532212886,0.0936634929850128
combined,0.03,8,svm,0.1,0.5573109243697478,0.5492235407676584,0.5747934173669467,0.08091272075332047
combined,0.03,8,svm,1.0,0.5673109243697478,0.5591414944356121,0.5736257002801121,0.08063617486545173
combined,0.03,8,svm,10.0,0.5673109243697478,0.5591414944356121,0.5736257002801121,0.08063617486545173
combined,0.03,8,lda,0.1,0.5577170868347339,0.5537843515784692,0.5768802521008404,0.09949046810867902
combined,0.03,8,lda,0.5,0.5318242296918767,0.5278432318873495,0.5618719362745098,0.10676277046025366
combined,0.03,8,lda,0.9,0.5330147058823529,0.5299965932318873,0.5696809348739496,0.11110316015861942
combined,0.03,12,logistic,0.01,0.5317156862745097,0.5286267885532592,0.5741325280112045,0.08822548114006082
combined,0.03,12,logistic,0.1,0.5393242296918768,0.5348767885532592,0.57734287464986,0.08964473597016805
combined,0.03,12,logistic,1.0,0.5464670868347339,0.5408201794231207,0.5556897759103642,0.09159732661919665
combined,0.03,12,logistic,10.0,0.5396813725490196,0.5360407676584147,0.5456657037815126,0.044103381408164014
combined,0.03,12,svm,0.01,0.5443242296918768,0.5402821939586645,0.5768246673669468,0.0976024767261134
combined,0.03,12,svm,0.1,0.5530847338935574,0.5479630365659778,0.5618679971988796,0.08131889014228665
combined,0.03,12,svm,1.0,0.5337990196078432,0.5297907676584147,0.5489220063025211,0.04183432962460771
combined,0.03,12,svm,10.0,0.5387990196078432,0.5356731205995912,0.5435219712885153,0.04558095424672779
combined,0.03,12,lda,0.1,0.5468347338935574,0.5412360890302066,0.5681477591036415,0.08675866017442753
combined,0.03,12,lda,0.5,0.54015756302521,0.5340321939586645,0.5744130777310924,0.10867783056214925
combined,0.03,12,lda,0.9,0.5638480392156863,0.5650721099250511,0.5716644782913165,0.10535353259414398
combined,0.03,15,logistic,0.01,0.5375980392156863,0.5340321939586645,0.5817638305322129,0.09802915849150241
combined,0.03,15,logistic,0.1,0.5505742296918767,0.5465321939586645,0.5753847163865546,0.08697209968798
combined,0.03,15,logistic,1.0,0.5406827731092437,0.5349378264819442,0.5556109943977592,0.0834759323854073
combined,0.03,15,logistic,10.0,0.5384313725490195,0.5356731205995912,0.5343001575630252,0.05561070077646633
combined,0.03,15,svm,0.01,0.5505742296918767,0.5465321939586645,0.578641456582633,0.08697209968798
combined,0.03,15,svm,0.1,0.5410504201680673,0.5358306836248012,0.560749737394958,0.08226148701904748
combined,0.03,15,svm,1.0,0.5317647058823529,0.5303159777424483,0.5380164565826331,0.06075085060863923
combined,0.03,15,svm,10.0,0.4974894957983193,0.49560810810810807,0.5355453431372549,0.05446826361475356
combined,0.03,15,lda,0.1,0.5477170868347339,0.5420806836248013,0.5633105742296919,0.07960955054452602
combined,0.03,15,lda,0.5,0.5514075630252101,0.5461645468998411,0.5798091736694678,0.1002094330242406
combined,0.03,15,lda,0.9,0.5563585434173669,0.5546772087213264,0.575890668767507,0.10110490360907223
source,0.3,6,logistic,0.01,0.5816176470588236,0.5868200658641836,0.6069726015406163,0.06068781625191643
source,0.3,6,logistic,0.1,0.5916771708683474,0.5981078242107654,0.599967612044818,0.07302545637028027
source,0.3,6,logistic,1.0,0.5759033613445379,0.5825616057233705,0.5998301820728291,0.09560426327875042
source,0.3,6,logistic,10.0,0.5842366946778712,0.5897044628662276,0.5984611344537816,0.08768730502412969
source,0.3,6,svm,0.01,0.5866771708683474,0.59270241880536,0.6032921918767508,0.06782333996017753
source,0.3,6,svm,0.1,0.5842366946778712,0.5897044628662276,0.6013397233893558,0.08768730502412969
source,0.3,6,svm,1.0,0.5904866946778712,0.5968473200090847,0.6027682948179273,0.08400273125353142
source,0.3,6,svm,10.0,0.5904866946778712,0.5968473200090847,0.6018526785714287,0.08400273125353142
source,0.3,6,lda,0.1,0.5842366946778712,0.5897044628662276,0.6019979866946779,0.08768730502412969
